Name,Team,Fixture,eGoals/90,Anytime%
Lloris,TOT,(A): NFO,0.00,0%
Leno,FUL,(A): ARS,0.00,0%
Martínez,AVL,(H): WHU,0.00,0%
Travers,BOU,(A): LIV,0.00,0%
Mendy,CHE,(H): LEI,0.00,0%
Guaita,CRY,(A): MCI,0.00,0%
Meslier,LEE,(A): BHA,0.00,0%
Ward,LEI,(A): CHE,0.00,0%
De Gea,MUN,(A): SOU,0.00,0%
Henderson,NFO,(H): TOT,0.00,0%
Fabianski,WHU,(A): AVL,0.00,0%
Neto,BOU,(A): LIV,0.00,0%
